key, value, date
Germany, 119403, 1940
Germany, 576905, 1950
Germany, 209616, 1960
Germany, 77142, 1970
Germany, 85752, 1980
Germany, 92207, 1990
Germany, 122373, 2000
Germany, 7929, 2010
Germany, 7072, 2011
Germany, 6732, 2012
Germany, 6880, 2013
Greece, 17, 1820
Greece, 49, 1830
Greece, 17, 1840
Greece, 32, 1850
Greece, 51, 1860
Greece, 209, 1870
Greece, 1807, 1880
Greece, 12732, 1890
Greece, 145402, 1900
Greece, 198108, 1910
Greece, 60774, 1920
Greece, 10599, 1930
Greece, 8605, 1940
Greece, 45153, 1950
Greece, 74173, 1960
Greece, 102370, 1970
Greece, 37729, 1980
Greece, 25403, 1990
Greece, 16841, 2000
Greece, 966, 2010
Greece, 1196, 2011
Greece, 1264, 2012
Greece, 1526, 2013
Ireland, 51617, 1820
Ireland, 170672, 1830
Ireland, 656145, 1840
Ireland, 1029486, 1850
Ireland, 427419, 1860
Ireland, 422264, 1870
Ireland, 674061, 1880
Ireland, 405710, 1890
Ireland, 344940, 1900
Ireland, 166445, 1910
Ireland, 201644, 1920
Ireland, 28195, 1930
Ireland, 15701, 1940
Ireland, 47189, 1950
Ireland, 37788, 1960
Ireland, 11461, 1970
Ireland, 22210, 1980
Ireland, 65384, 1990
Ireland, 15642, 2000
Ireland, 1610, 2010
Ireland, 1533, 2011
Ireland, 1694, 2012
Ireland, 1765, 2013
Italy, 430, 1820
Italy, 2225, 1830
Italy, 1476, 1840
Italy, 8643, 1850
Italy, 9853, 1860
Italy, 46296, 1870
Italy, 267660, 1880
Italy, 603761, 1890
Italy, 1930475, 1900
Italy, 1229916, 1910
Italy, 528133, 1920
Italy, 85053, 1930
Italy, 50509, 1940
Italy, 189061, 1950
Italy, 200111, 1960
Italy, 150031, 1970
Italy, 55562, 1980
Italy, 75992, 1990
Italy, 28329, 2000
Italy, 2956, 2010
Italy, 2670, 2011
Italy, 2946, 2012
Italy, 3233, 2013
Netherlands, 1105, 1820
Netherlands, 1377, 1830
Netherlands, 7624, 1840
Netherlands, 11122, 1850
Netherlands, 8387, 1860
Netherlands, 14267, 1870
Netherlands, 52715, 1880
Netherlands, 29349, 1890
Netherlands, 42463, 1900
Netherlands, 46065, 1910
Netherlands, 29397, 1920
Netherlands, 7791, 1930
Netherlands, 13877, 1940
Netherlands, 46703, 1950
Netherlands, 37918, 1960
Netherlands, 10373, 1970
Netherlands, 11234, 1980
Netherlands, 13345, 1990
Netherlands, 17351, 2000
Netherlands, 1520, 2010
Netherlands, 1258, 2011
Netherlands, 1294, 2012
Netherlands, 1376, 2013
Norway-Sweden, 91, 1820
Norway-Sweden, 1149, 1830
Norway-Sweden, 12389, 1840
Norway-Sweden, 22202, 1850
Norway-Sweden, 82937, 1860
Norway-Sweden, 178823, 1870
Norway-Sweden, 586441, 1880
Norway-Sweden, 334058, 1890
Norway-Sweden, 426981, 1900
Norway-Sweden, 192445, 1910
Norway-Sweden, 170329, 1920
Norway-Sweden, 13452, 1930
Norway-Sweden, 17326, 1940
Norway-Sweden, 44231, 1950
Norway-Sweden, 36150, 1960
Norway-Sweden, 10298, 1970
Norway-Sweden, 13941, 1980
Norway-Sweden, 17825, 1990
Norway-Sweden, 19382, 2000
Norway-Sweden, 1662, 2010
Norway-Sweden, 1530, 2011
Norway-Sweden, 1441, 2012
Norway-Sweden, 1665, 2013
Norway, 0, 1820
Norway, 0, 1830
Norway, 0, 1840
Norway, 0, 1850
Norway, 0, 1860
Norway, 88644, 1870
Norway, 185111, 1880
Norway, 96810, 1890
Norway, 182542, 1900
Norway, 79488, 1910
Norway, 70327, 1920
Norway, 6901, 1930
Norway, 8326, 1940
Norway, 22813, 1950
Norway, 17371, 1960
Norway, 3927, 1970
Norway, 3835, 1980
Norway, 5211, 1990
Norway, 4599, 2000
Norway, 363, 2010
Norway, 405, 2011
Norway, 314, 2012
Norway, 389, 2013
Sweden, 0, 1820
Sweden, 0, 1830
Sweden, 0, 1840
Sweden, 0, 1850
Sweden, 0, 1860
Sweden, 90179, 1870
Sweden, 401330, 1880
Sweden, 237248, 1890
Sweden, 244439, 1900
Sweden, 112957, 1910
Sweden, 100002, 1920
Sweden, 6551, 1930
Sweden, 9000, 1940
Sweden, 21418, 1950
Sweden, 18779, 1960
Sweden, 6371, 1970
Sweden, 10106, 1980
Sweden, 12614, 1990
Sweden, 14783, 2000
Sweden, 1299, 2010
Sweden, 1125, 2011
Sweden, 1127, 2012
Sweden, 1276, 2013
